Year,Month,Day,Home,Away,Hscore,Ascore,Outcome,HFGMade,HFGAtt,H3ptMade,H3ptAtt,HFTMade,HFTAtt,HOBoard,HDBoard,Hassist,Hsteal,Hblock,Hturnover,HPF,Aoutcome,AFGMade,AFGAtt,A3ptMade,A3ptAtt,AFTMade,AFTAtt,AOBoard,ADBoard,Aassist,Asteal,Ablock,Aturnover,APF,Bubble
2018,11,23,LAC,MEM,112,107,1,40,94,8,23,24,27,8,40,26,6,5,11,23,0,42,92,9,27,14,18,6,41,29,6,7,16,29,0
2018,11,25,LAL,ORL,104,108,0,37,79,10,26,20,31,5,37,22,9,10,18,17,1,42,93,11,31,13,14,9,36,31,8,5,13,22,0
2018,11,25,DET,PHO,118,107,1,43,93,16,41,16,25,13,28,30,9,0,12,19,0,42,82,8,25,15,21,10,32,22,6,6,17,22,0
2018,11,25,ATL,CHO,124,123,1,50,94,16,39,8,11,9,32,34,5,9,15,23,0,41,92,18,45,23,28,10,32,30,8,4,10,15,0
2018,11,25,BRK,PHI,125,127,0,50,88,10,25,15,20,10,33,19,2,4,16,25,1,44,91,12,29,27,33,13,29,28,9,6,9,22,0
2018,11,25,MEM,NYK,98,103,0,38,86,11,30,11,19,6,35,27,5,19,7,23,1,34,91,8,22,27,32,14,42,17,4,5,7,21,0
2018,11,25,TOR,MIA,125,115,1,47,90,11,35,20,25,11,36,25,4,7,9,21,0,39,95,15,36,22,32,17,29,21,6,5,7,22,0
2018,12,1,BOS,CLE,128,95,1,40,85,17,44,21,21,7,33,30,9,3,14,25,0,34,88,5,22,22,25,11,33,14,6,0,11,23,0
2018,12,1,DET,CHI,107,88,1,43,98,12,35,13,20,14,33,22,8,2,11,21,0,39,88,8,32,19,24,7,34,15,11,6,13,22,0
2018,12,1,NYK,MIL,136,134,1,51,96,20,34,14,21,6,35,30,5,2,16,23,0,46,94,18,42,24,31,10,41,28,11,4,16,25,0
2018,12,2,LAL,PHO,120,96,1,46,92,11,27,17,23,11,45,26,9,4,19,15,0,37,93,13,33,9,11,7,33,24,12,8,15,22,0
2018,12,2,CHO,NOP,109,119,0,39,91,10,36,21,28,11,30,25,9,6,11,19,1,44,86,11,32,20,24,9,41,30,6,5,17,25,0
2018,12,2,MIA,UTA,102,100,1,36,91,13,31,17,24,14,36,20,8,8,13,16,0,39,89,11,33,11,15,10,40,21,8,6,13,18,0
2018,12,2,PHI,MEM,103,95,1,36,74,8,22,23,30,3,41,22,5,2,16,20,0,33,79,11,28,18,23,3,32,19,7,7,14,24,0
2018,12,8,CLE,SAC,110,129,1,47,89,15,31,7,10,12,37,26,5,5,7,20,0,38,90,9,32,12,15,12,31,24,9,8,13,21,0
2018,12,8,DAL,HOU,107,104,1,41,83,12,30,13,16,14,30,21,9,3,15,14,0,39,86,15,47,11,13,10,26,20,5,3,12,19,0
2018,12,9,DET,NOP,108,116,0,43,98,9,29,13,24,17,30,28,8,5,10,22,1,42,79,12,30,20,23,8,39,27,5,8,18,19,0
2018,12,9,TOR,MIL,99,104,0,39,94,15,44,6,7,11,34,24,6,11,11,21,1,36,87,15,39,17,20,9,36,22,6,7,11,13,0
2018,12,11,PHO,LAC,119,123,0,33,82,8,28,12,14,8,32,19,7,5,17,22,0,38,86,7,25,16,19,12,32,25,2,5,15,16,0
2018,12,15,ORL,UTA,96,89,1,34,72,11,24,17,20,4,44,18,7,10,22,27,0,28,89,7,29,26,28,11,31,17,13,4,10,19,0
2018,12,16,BRK,ATL,144,127,1,49,88,16,40,30,33,10,29,34,12,3,13,21,0,47,85,14,29,19,25,8,25,38,9,5,14,22,0
